solver,agent_id,task_id,step,loc,row,col
solver1,83,7780,0,3371115,1872,1515
solver1,83,7780,1,3369315,1871,1515
solver1,83,7780,2,3367515,1870,1515
solver1,83,7780,3,3365715,1869,1515
solver1,83,7780,4,3363915,1868,1515
solver1,83,7780,5,3362115,1867,1515
solver1,83,7780,6,3360315,1866,1515
solver1,83,7780,7,3358515,1865,1515
solver1,83,7780,8,3356715,1864,1515
solver1,83,7780,9,3354915,1863,1515
solver1,83,7780,10,3353115,1862,1515
solver1,83,7780,11,3351315,1861,1515
solver1,83,7780,12,3349515,1860,1515
solver1,83,7780,13,3347715,1859,1515
solver1,83,7780,14,3345915,1858,1515
solver1,83,7780,15,3344115,1857,1515
solver1,83,7780,16,3342315,1856,1515
solver1,83,7780,17,3340515,1855,1515
solver1,83,7780,18,3340516,1855,1516
solver1,84,6045,0,1305835,725,835
solver1,84,6045,1,1304035,724,835
solver1,84,6045,2,1304036,724,836
solver1,85,4207,0,872227,484,1027
solver1,86,17478,0,2810790,1561,990
solver1,86,17478,1,2810789,1561,989
solver1,86,17478,2,2810788,1561,988
solver1,86,17478,3,2810787,1561,987
solver1,86,17478,4,2810786,1561,986
solver1,87,25426,0,2568083,1426,1283
solver1,87,25426,1,2568082,1426,1282
solver1,87,25426,2,2568081,1426,1281
solver1,87,25426,3,2568080,1426,1280
solver1,87,25426,4,2568079,1426,1279
solver1,87,25426,5,2569879,1427,1279
solver1,87,25426,6,2571679,1428,1279
solver1,87,25426,7,2573479,1429,1279
solver1,88,24389,0,2043467,1135,467
solver1,88,24389,1,2043466,1135,466
solver1,88,24389,2,2043465,1135,465
solver1,88,24389,3,2043464,1135,464
solver1,89,14107,0,78498,43,1098
solver1,89,14107,1,78499,43,1099
solver1,89,14107,2,80299,44,1099
solver1,89,14107,3,82099,45,1099
solver1,89,14107,4,83899,46,1099
solver1,89,14107,5,83900,46,1100
solver1,89,14107,6,83901,46,1101
solver1,89,14107,7,83902,46,1102
solver1,90,25295,0,1817394,1009,1194
solver1,90,25295,1,1817393,1009,1193
solver1,90,25295,2,1817392,1009,1192
solver1,90,25295,3,1817391,1009,1191
solver1,90,25295,4,1817390,1009,1190
solver1,91,14103,0,3054302,1696,1502
solver1,91,14103,1,3054301,1696,1501
solver1,91,14103,2,3054300,1696,1500
solver1,91,14103,3,3054299,1696,1499
solver1,91,14103,4,3056099,1697,1499
solver1,91,14103,5,3057899,1698,1499
solver1,91,14103,6,3059699,1699,1499
solver1,91,14103,7,3059698,1699,1498
solver1,91,14103,8,3059697,1699,1497
solver1,91,14103,9,3059696,1699,1496
solver1,92,17288,0,1871281,1039,1081
solver1,92,17288,1,1871280,1039,1080
solver1,92,17288,2,1871279,1039,1079
solver1,93,15847,0,2173905,1207,1305
solver1,93,15847,1,2173906,1207,1306
solver1,93,15847,2,2173907,1207,1307
solver1,93,15847,3,2175707,1208,1307
solver1,93,15847,4,2177507,1209,1307
solver1,93,15847,5,2179307,1210,1307
solver1,93,15847,6,2179308,1210,1308
solver1,94,11732,0,813867,452,267
solver1,94,11732,1,812067,451,267
solver1,94,11732,2,812068,451,268
solver1,94,11732,3,812069,451,269
solver1,94,11732,4,812070,451,270
solver1,94,11732,5,812071,451,271
solver1,94,11732,6,810271,450,271
solver1,95,20561,0,533683,296,883
solver1,95,20561,1,531883,295,883
solver1,95,20561,2,531882,295,882
solver1,95,20561,3,531881,295,881
solver1,95,20561,4,531880,295,880
